x1,y1,x2,y2,index1,index2
619,126,54,537,178,82
54,537,679,468,82,11
679,468,48,528,11,83
48,528,612,118,83,177
612,118,80,573,177,78
80,573,564,73,78,171
564,73,110,605,171,74
110,605,528,48,74,167
528,48,612,581,167,23
612,581,60,546,23,81
60,546,605,589,81,24
605,589,73,564,24,79
73,564,597,102,79,175
597,102,162,645,175,68
162,645,135,73,68,129
135,73,181,656,129,66
181,656,144,66,66,130
144,66,191,661,130,65
191,661,382,1,65,153
382,1,564,626,153,29
564,626,110,94,29,126
110,94,171,651,126,67
171,651,118,87,67,127
118,87,626,135,127,179
626,135,13,252,179,109
13,252,633,144,109,180
633,144,508,661,180,35
508,661,639,153,35,181
639,153,13,252,181,109
13,252,645,162,109,182
645,162,6,284,182,106
6,284,697,306,106,196
697,306,6,415,196,94
6,415,645,537,94,18
645,537,20,468,18,89
20,468,695,295,89,195
695,295,8,426,195,93
8,426,651,528,93,17
651,528,10,437,17,92
10,437,639,546,92,19
639,546,17,458,19,90
17,458,697,306,90,196
697,306,8,426,196,93
8,426,626,564,93,21
626,564,10,437,21,92
10,437,699,328,92,198
699,328,6,415,198,94
6,415,597,597,94,25
597,597,153,60,25,131
153,60,171,651,131,67
171,651,135,73,67,129
135,73,191,661,129,65
191,661,306,2,65,146
306,2,241,682,146,60
241,682,317,1,60,147
317,1,573,619,147,28
573,619,252,13,28,141
252,13,306,697,141,54
306,697,200,33,54,136
200,33,144,633,136,70
144,633,191,38,70,135
191,38,404,695,135,45
404,695,210,28,45,137
210,28,589,605,137,26
589,605,153,60,26,131
153,60,144,633,131,70
144,633,191,38,70,135
191,38,415,693,135,44
415,693,210,28,44,137
210,28,306,697,137,54
306,697,241,17,54,140
241,17,328,699,140,52
328,699,360,0,52,151
360,0,210,671,151,63
210,671,295,4,63,145
295,4,564,626,145,29
564,626,393,2,29,154
393,2,210,671,154,63
210,671,371,0,63,152
371,0,221,675,152,62
221,675,573,80,62,172
573,80,252,686,172,59
252,686,306,2,59,146
306,2,573,619,146,28
573,619,262,10,28,142
262,10,581,612,142,27
581,612,144,66,27,130
144,66,181,656,130,66
181,656,153,60,66,131
153,60,489,671,131,37
489,671,171,48,37,133
171,48,126,619,133,72
126,619,162,54,72,132
162,54,144,633,132,70
144,633,181,43,70,134
181,43,126,619,134,72
126,619,639,546,72,19
639,546,518,43,19,166
518,43,537,645,166,32
537,645,555,66,32,170
555,66,546,639,170,31
546,639,537,54,31,168
537,54,153,639,168,69
153,639,489,28,69,163
489,28,447,686,163,41
447,686,468,20,41,161
468,20,468,679,161,39
468,679,555,66,39,170
555,66,546,639,170,31
546,639,537,54,31,168
537,54,162,645,168,68
162,645,126,80,68,128
126,80,171,651,128,67
171,651,458,17,67,160
458,17,458,682,160,40
458,682,171,48,40,133
171,48,118,612,133,73
118,612,499,33,73,164
499,33,171,651,164,67
171,651,581,87,67,173
581,87,153,639,173,69
153,639,181,43,69,134
181,43,589,605,134,26
589,605,171,48,26,133
171,48,135,626,133,71
135,626,191,38,71,135
191,38,317,698,135,53
317,698,458,17,53,160
458,17,468,679,160,39
468,679,478,24,39,162
478,24,693,415,162,6
693,415,28,210,6,113
28,210,699,360,113,1
699,360,20,231,1,111
20,231,698,382,111,3
698,382,17,241,3,110
17,241,656,181,110,184
656,181,38,191,184,115
38,191,666,200,115,186
666,200,489,671,186,37
489,671,671,210,37,187
671,210,54,162,187,118
54,162,675,221,118,188
675,221,48,171,188,117
48,171,605,110,117,176
605,110,60,153,176,119
60,153,682,241,119,190
