x1,y1,x2,y2,index1,index2
639,153,87,118,181,123
87,118,597,597,123,25
597,597,10,437,25,92
10,437,528,48,92,167
528,48,252,686,167,59
252,686,200,33,59,136
200,33,135,626,136,71
135,626,546,60,71,169
546,60,0,360,169,99
0,360,619,573,99,22
619,573,102,597,22,75
102,597,564,73,75,171
564,73,13,447,171,91
13,447,612,118,91,177
612,118,8,426,177,93
8,426,210,28,93,137
210,28,306,697,137,54
306,697,508,38,54,165
508,38,404,695,165,45
404,695,191,38,45,135
191,38,135,626,135,71
135,626,546,60,71,169
546,60,6,415,169,94
6,415,589,94,94,174
589,94,17,458,174,90
17,458,589,605,90,26
589,605,0,360,26,99
0,360,573,619,99,28
573,619,181,43,28,134
181,43,135,626,134,71
135,626,162,54,71,132
162,54,581,612,132,27
581,612,1,382,27,97
1,382,675,478,97,12
675,478,102,597,12,75
102,597,564,73,75,171
564,73,0,328,171,102
0,328,252,13,102,141
252,13,537,645,141,32
537,645,415,6,32,156
415,6,171,651,156,67
171,651,537,54,67,168
537,54,284,693,168,56
284,693,666,499,56,14
666,499,102,597,14,75
102,597,573,80,75,172
573,80,6,284,172,106
6,284,555,633,106,30
555,633,339,0,30,149
339,0,210,671,149,63
210,671,349,0,63,150
349,0,555,633,150,30
555,633,66,555,30,80
66,555,528,651,80,33
528,651,447,13,33,159
447,13,171,651,159,67
171,651,144,66,67,130
144,66,581,612,130,27
581,612,2,393,27,96
2,393,645,537,96,18
645,537,181,656,18,66
181,656,518,43,66,166
518,43,415,693,166,44
415,693,328,0,44,148
328,0,437,689,148,42
437,689,404,4,42,155
404,4,191,661,155,65
191,661,518,43,65,166
518,43,349,700,166,50
349,700,393,2,50,154
393,2,555,633,154,30
555,633,48,171,30,117
48,171,458,17,117,160
458,17,162,645,160,68
162,645,110,94,68,126
110,94,581,612,126,27
581,612,10,437,27,92
10,437,221,24,92,138
221,24,135,626,138,71
135,626,555,66,71,170
555,66,0,360,170,99
0,360,564,73,99,171
564,73,66,144,171,120
66,144,171,651,120,67
171,651,144,66,67,130
144,66,589,605,130,26
589,605,4,295,26,105
4,295,633,555,105,20
633,555,144,633,20,70
144,633,555,66,70,170
555,66,6,415,170,94
6,415,626,135,94,179
626,135,94,110,179,124
94,110,666,200,124,186
666,200,144,633,186,70
144,633,162,54,70,132
162,54,126,619,132,72
126,619,564,73,72,171
564,73,1,382,171,97
1,382,28,210,97,113
28,210,404,4,113,155
404,4,371,699,155,48
371,699,518,43,48,166
518,43,135,626,166,71
135,626,153,60,71,131
153,60,573,619,131,28
573,619,8,273,28,107
8,273,612,581,107,23
612,581,13,252,23,109
13,252,306,2,109,146
306,2,537,645,146,32
537,645,499,33,32,164
499,33,144,633,164,70
144,633,546,60,70,169
546,60,38,508,169,85
38,508,404,695,85,45
404,695,404,4,45,155
404,4,200,666,155,64
200,666,415,6,64,156
415,6,328,699,156,52
328,699,508,38,52,165
508,38,191,661,165,65
191,661,135,73,65,129
135,73,581,612,129,27
581,612,0,328,27,102
0,328,555,633,102,30
555,633,371,0,30,152
371,0,191,661,152,65
191,661,126,80,65,128
126,80,162,645,128,68
162,645,135,73,68,129
135,73,589,605,129,26
589,605,38,191,26,115
38,191,546,639,115,31
546,639,447,13,31,159
447,13,162,645,159,68
162,645,144,66,68,130
144,66,581,612,130,27
581,612,6,415,27,94
6,415,682,458,94,10
682,458,102,597,10,75
102,597,564,73,75,171
564,73,4,404,171,95
4,404,210,28,95,137
210,28,317,698,137,53
317,698,679,468,53,11
679,468,102,597,11,75
102,597,573,80,75,172
573,80,10,262,172,108
10,262,306,2,108,146
306,2,546,639,146,31
546,639,191,38,31,135
191,38,135,626,135,71
135,626,171,48,71,133
171,48,144,633,133,70
144,633,555,66,70,170
555,66,8,426,170,93
8,426,666,499,93,14
666,499,94,589,14,76
94,589,564,73,76,171
564,73,6,415,171,94
6,415,633,144,94,180
633,144,118,87,180,127
118,87,499,666,127,36
499,666,102,102,36,125
102,102,589,605,125,26
589,605,0,371,26,98
0,371,231,20,98,139
231,20,666,200,139,186
666,200,415,693,186,44
415,693,181,43,44,134
181,43,468,679,134,39
468,679,135,73,39,129
135,73,597,597,129,25
597,597,60,153,25,119
60,153,528,48,119,167
528,48,33,499,167,86
33,499,393,697,86,46
393,697,518,43,46,166
518,43,191,661,166,65
191,661,645,537,65,18
645,537,94,589,18,76
94,589,656,518,76,16
656,518,241,682,16,60
241,682,518,43,60,166
518,43,181,656,166,66
181,656,135,73,66,129
135,73,171,651,129,67
171,651,126,80,67,128
126,80,153,639,128,69
153,639,135,73,69,129
135,73,478,675,129,38
478,675,144,66,38,130
144,66,573,619,130,28
573,619,252,13,28,141
252,13,679,231,141,189
679,231,102,102,189,125
102,102,597,597,125,25
597,597,43,518,25,84
43,518,489,671,84,37
489,671,135,73,37,129
135,73,144,633,129,70
144,633,162,54,70,132
162,54,573,619,132,28
573,619,73,564,28,79
73,564,645,162,79,182
645,162,153,60,182,131
153,60,126,619,131,72
126,619,162,54,72,132
162,54,581,612,132,27
581,612,478,24,27,162
478,24,546,639,162,31
546,639,371,0,31,152
371,0,200,666,152,64
200,666,645,537,64,18
645,537,210,671,18,63
210,671,135,73,63,129
135,73,171,651,129,67
171,651,144,66,67,130
144,66,468,679,130,39
468,679,153,60,39,131
153,60,581,612,131,27
581,612,10,262,27,108
10,262,87,118,108,123
87,118,651,171,123,183
651,171,135,626,183,71
135,626,144,66,71,130
144,66,489,671,130,37
489,671,153,60,37,131
153,60,573,619,131,28
573,619,6,415,28,94
6,415,639,153,94,181
639,153,144,66,181,130
144,66,458,682,130,40
458,682,171,48,40,133
171,48,573,619,133,28
573,619,80,573,28,78
80,573,619,126,78,178
619,126,162,645,178,68
162,645,546,60,68,169
546,60,241,682,169,60
241,682,252,13,60,141
252,13,437,10,141,158
437,10,181,656,158,66
181,656,447,13,66,159
447,13,537,645,159,32
537,645,339,0,32,149
339,0,697,306,149,196
697,306,110,94,196,126
110,94,597,597,126,25
597,597,478,24,25,162
478,24,426,691,162,43
426,691,360,0,43,151
360,0,700,350,151,0
700,350,110,605,0,74
110,605,564,73,74,171
564,73,478,675,171,38
478,675,162,54,38,132
162,54,110,605,132,74
110,605,564,73,74,171
564,73,528,651,171,33
528,651,360,0,33,151
360,0,675,478,151,12
675,478,102,597,12,75
102,597,671,489,75,13
671,489,273,691,13,57
273,691,689,437,57,8
689,437,102,597,8,75
102,597,661,508,75,15
661,508,94,589,15,76
94,589,468,20,76,161
468,20,87,581,161,77
87,581,171,48,77,133
171,48,573,619,133,28
573,619,0,328,28,102
0,328,28,489,102,87
28,489,404,695,87,45
404,695,682,241,45,190
682,241,102,102,190,125
102,102,689,262,125,192
689,262,110,94,192,126
110,94,612,581,126,23
612,581,426,8,23,157
426,8,262,10,157,142
262,10,675,221,142,188
675,221,102,102,188,125
102,102,691,273,125,193
691,273,110,94,193,126
110,94,162,645,126,68
162,645,555,66,68,170
555,66,0,339,170,101
0,339,262,10,101,142
262,10,231,679,142,61
231,679,508,38,61,165
508,38,54,537,165,82
54,537,478,675,82,38
478,675,153,60,38,131
153,60,126,619,131,72
126,619,171,48,72,133
171,48,478,675,133,38
478,675,110,94,38,126
110,94,605,589,126,24
605,589,415,6,24,156
415,6,679,468,156,11
679,468,437,10,11,158
437,10,682,458,158,10
682,458,295,695,10,55
295,695,666,499,55,14
666,499,306,697,14,54
306,697,699,360,54,1
699,360,284,6,1,144
284,6,458,682,144,40
458,682,682,241,40,190
682,241,144,633,190,70
144,633,171,48,70,133
171,48,110,605,133,74
110,605,695,404,74,5
695,404,118,612,5,73
118,612,162,54,73,132
162,54,573,619,132,28
573,619,231,20,28,139
231,20,679,231,139,189
679,231,135,626,189,71
135,626,546,60,71,169
546,60,210,671,169,63
210,671,518,43,63,166
518,43,404,695,166,45
404,695,349,0,45,150
349,0,697,393,150,4
697,393,118,612,4,73
118,612,697,306,73,196
697,306,102,102,196,125
102,102,162,645,125,68
162,645,537,54,68,168
537,54,28,489,168,87
28,489,1,317,87,103
1,317,666,499,103,14
666,499,317,698,14,53
317,698,693,415,53,6
693,415,102,597,6,75
102,597,468,20,75,161
468,20,48,171,161,117
48,171,478,24,117,162
478,24,66,555,162,80
66,555,489,28,80,163
489,28,144,633,163,70
144,633,686,252,70,191
686,252,458,682,191,40
458,682,153,60,40,131
153,60,589,605,131,26
589,605,13,252,26,109
13,252,10,437,109,92
10,437,295,695,92,55
295,695,697,393,55,4
697,393,415,693,4,44
415,693,693,284,44,194
693,284,110,94,194,126
110,94,171,651,126,67
171,651,73,135,67,121
73,135,651,528,121,17
651,528,171,651,17,67
171,651,546,60,67,169
546,60,262,689,169,58
262,689,671,210,58,187
671,210,221,24,187,138
221,24,682,241,138,190
682,241,295,4,190,145
295,4,221,675,145,62
221,675,252,13,62,141
252,13,437,10,141,158
437,10,691,426,158,7
691,426,135,73,7,129
135,73,191,661,129,65
191,661,537,54,65,168
537,54,38,508,168,85
38,508,686,252,85,191
686,252,349,700,191,50
349,700,689,262,50,192
689,262,478,675,192,38
478,675,181,43,38,134
181,43,48,528,134,83
48,528,489,671,83,37
489,671,651,171,37,183
651,171,73,564,183,79
73,564,489,28,79,163
489,28,48,171,163,117
48,171,1,382,117,97
1,382,28,210,97,113
28,210,2,393,113,96
2,393,48,171,96,117
48,171,10,437,117,92
10,437,698,382,92,3
698,382,118,612,3,73
118,612,555,66,73,170
555,66,0,349,170,100
0,349,679,468,100,11
679,468,371,0,11,152
371,0,700,350,152,0
700,350,118,612,0,73
118,612,555,66,73,170
555,66,699,339,170,199
699,339,110,605,199,74
110,605,162,54,74,132
162,54,581,612,132,27
581,612,689,262,27,192
689,262,144,633,192,70
144,633,633,555,70,20
633,555,135,626,20,71
135,626,162,54,71,132
162,54,573,619,132,28
573,619,6,284,28,106
6,284,686,252,106,191
686,252,231,20,191,139
231,20,437,10,139,158
437,10,162,645,158,68
162,645,546,60,68,169
546,60,284,693,169,56
284,693,689,437,56,8
689,437,126,80,8,128
126,80,605,589,128,24
605,589,689,262,24,192
689,262,382,698,192,47
382,698,699,371,47,2
