x1,y1,x2,y2,index1,index2
153,60,126,619,131,72
126,619,518,43,72,166
518,43,60,153,166,119
60,153,699,371,119,2
699,371,210,671,2,63
210,671,489,28,63,163
489,28,306,2,163,146
306,2,153,60,146,131
153,60,191,661,131,65
191,661,695,404,65,5
695,404,589,605,5,26
589,605,693,415,26,6
693,415,33,499,6,86
33,499,10,262,86,108
10,262,94,110,108,124
94,110,651,171,124,183
651,171,13,252,183,109
13,252,478,675,109,38
478,675,564,73,38,171
564,73,447,686,171,41
447,686,360,0,41,151
360,0,252,686,151,59
252,686,110,605,59,74
110,605,20,231,74,111
20,231,80,573,111,78
80,573,28,210,78,113
28,210,2,393,113,96
2,393,698,317,96,197
698,317,73,135,197,121
73,135,699,328,121,198
699,328,60,546,198,81
60,546,555,66,81,170
555,66,508,661,170,35
508,661,0,349,35,100
0,349,478,675,100,38
478,675,693,284,38,194
693,284,382,1,194,153
382,1,28,210,153,113
28,210,110,605,113,74
110,605,171,48,74,133
171,48,691,273,133,193
691,273,102,102,193,125
102,102,262,10,125,142
262,10,328,699,142,52
328,699,295,4,52,145
295,4,671,210,145,187
671,210,589,605,187,26
589,605,693,415,26,6
693,415,605,589,6,24
605,589,691,426,24,7
691,426,612,581,7,23
612,581,689,437,23,8
689,437,33,499,8,86
33,499,10,262,86,108
10,262,94,110,108,124
94,110,262,10,124,142
262,10,437,10,142,158
437,10,581,87,158,173
581,87,17,241,173,110
17,241,597,102,110,175
597,102,153,639,175,69
153,639,605,110,69,176
605,110,54,162,176,118
54,162,695,295,118,195
695,295,231,679,195,61
231,679,458,17,61,160
458,17,499,666,160,36
499,666,4,404,36,95
4,404,645,537,95,18
645,537,80,126,18,122
80,126,675,221,122,188
675,221,210,671,188,63
210,671,698,382,63,3
698,382,1,317,3,103
1,317,458,682,103,40
458,682,231,20,40,139
231,20,349,700,139,50
349,700,162,54,50,132
162,54,686,252,132,191
686,252,110,94,191,126
110,94,478,675,126,38
478,675,699,339,38,199
699,339,528,651,199,33
528,651,700,350,33,0
700,350,171,651,0,67
171,651,10,437,67,92
10,437,252,13,92,141
252,13,153,639,141,69
153,639,686,252,69,191
686,252,468,679,191,39
468,679,6,284,39,106
6,284,693,415,106,6
693,415,589,605,6,26
589,605,671,210,26,187
671,210,48,171,187,117
48,171,48,528,117,83
48,528,13,252,83,109
13,252,73,564,109,79
73,564,17,241,79,110
17,241,528,651,110,33
528,651,700,350,33,0
700,350,537,645,0,32
537,645,6,415,32,94
6,415,589,94,94,174
589,94,437,10,174,158
437,10,262,10,158,142
262,10,20,468,142,89
20,468,626,135,89,179
626,135,0,339,179,101
0,339,700,350,101,0
700,350,537,645,0,32
537,645,162,54,32,132
162,54,639,153,132,181
639,153,0,371,181,98
0,371,651,528,98,17
651,528,1,382,17,97
1,382,252,13,97,141
252,13,162,645,141,68
162,645,24,221,68,112
24,221,458,682,112,40
458,682,699,328,40,198
699,328,518,656,198,34
518,656,468,20,34,161
468,20,262,689,161,58
262,689,102,597,58,75
102,597,555,66,75,170
555,66,60,153,170,119
60,153,698,382,119,3
698,382,555,633,3,30
555,633,28,489,30,87
28,489,144,633,87,70
144,633,691,273,70,193
691,273,468,679,193,39
468,679,231,20,39,139
231,20,666,200,139,186
666,200,284,693,186,56
284,693,80,573,56,78
80,573,273,691,78,57
273,691,349,0,57,150
349,0,404,695,150,45
404,695,679,231,45,189
679,231,447,686,189,41
447,686,682,241,41,190
682,241,458,682,190,40
458,682,699,328,40,198
699,328,518,656,198,34
518,656,478,24,34,162
478,24,221,675,162,62
221,675,200,33,62,136
200,33,241,682,136,60
241,682,144,66,60,130
144,66,252,686,130,59
252,686,210,28,59,137
210,28,393,2,137,154
393,2,699,339,154,199
699,339,0,360,199,99
0,360,626,135,99,179
626,135,24,478,179,88
24,478,693,284,88,194
693,284,499,666,194,36
499,666,695,295,36,195
695,295,508,661,195,35
508,661,697,306,35,196
697,306,404,4,196,155
404,4,28,210,155,113
28,210,126,619,113,72
126,619,162,54,72,132
162,54,360,699,132,49
360,699,426,8,49,157
426,8,328,699,157,52
328,699,528,48,52,167
528,48,349,700,167,50
349,700,284,6,50,144
284,6,699,328,144,198
699,328,518,656,198,34
518,656,489,28,34,163
489,28,437,689,163,42
437,689,499,33,42,164
499,33,0,339,164,101
0,339,699,360,101,1
699,360,564,626,1,29
564,626,697,393,29,4
697,393,581,612,4,27
581,612,546,60,27,169
546,60,339,699,169,51
339,699,581,87,51,173
581,87,13,252,173,109
13,252,54,537,109,82
54,537,317,698,82,53
317,698,28,489,53,87
28,489,2,306,87,104
2,306,508,661,104,35
508,661,697,306,35,196
697,306,66,555,196,80
66,555,317,698,80,53
317,698,528,48,53,167
528,48,252,13,167,141
252,13,17,458,141,90
17,458,700,350,90,0
700,350,537,645,0,32
537,645,306,2,32,146
306,2,698,317,146,197
698,317,508,661,197,35
508,661,135,73,35,129
135,73,306,697,129,54
306,697,10,437,54,92
10,437,528,651,92,33
528,651,499,33,33,164
499,33,447,686,164,41
447,686,241,17,41,140
241,17,382,698,140,47
382,698,171,48,47,133
171,48,693,284,133,194
693,284,478,675,194,38
478,675,153,60,38,131
153,60,135,626,131,71
135,626,28,210,71,113
28,210,171,651,113,67
171,651,33,200,67,114
33,200,181,656,114,66
181,656,48,171,66,117
48,171,87,581,117,77
87,581,273,691,77,57
273,691,458,17,57,160
458,17,508,661,160,35
508,661,698,317,35,197
698,317,295,4,197,145
295,4,20,468,145,89
20,468,306,2,89,146
306,2,153,60,146,131
153,60,171,651,131,67
171,651,508,38,67,165
508,38,656,518,165,16
656,518,700,350,16,0
700,350,537,645,0,32
537,645,171,48,32,133
171,48,360,699,133,49
360,699,118,87,49,127
118,87,682,241,127,190
682,241,458,682,190,40
458,682,689,262,40,192
689,262,80,573,192,78
80,573,33,200,78,114
33,200,415,693,114,44
415,693,679,231,44,189
679,231,349,0,189,150
349,0,284,693,150,56
284,693,10,437,56,92
10,437,118,612,92,73
118,612,508,38,73,165
508,38,528,651,165,33
528,651,153,60,33,131
153,60,605,589,131,24
605,589,686,447,24,9
686,447,118,87,9,127
118,87,645,162,127,182
645,162,210,28,182,137
210,28,393,2,137,154
393,2,689,437,154,8
689,437,612,581,8,23
612,581,8,273,23,107
8,273,13,447,107,91
13,447,273,691,91,57
273,691,675,221,57,188
675,221,437,689,188,42
437,689,17,241,42,110
17,241,94,589,110,76
94,589,546,60,76,169
546,60,252,13,169,141
252,13,200,666,141,64
200,666,686,252,64,191
686,252,468,679,191,39
468,679,691,273,39,193
691,273,8,426,193,93
8,426,221,24,93,138
221,24,262,689,138,58
262,689,328,0,58,148
328,0,4,295,148,105
4,295,426,8,105,157
426,8,371,699,157,48
371,699,447,13,48,159
447,13,171,48,159,133
171,48,48,171,133,117
48,171,87,581,117,77
87,581,700,350,77,0
700,350,537,645,0,32
537,645,699,371,32,2
699,371,546,639,2,31
546,639,306,2,31,146
306,2,518,43,146,166
518,43,8,273,166,107
8,273,13,447,107,91
13,447,612,118,91,177
612,118,87,581,177,77
87,581,48,171,77,117
48,171,110,605,117,74
110,605,241,17,74,140
241,17,651,171,140,183
651,171,700,350,183,0
700,350,537,645,0,32
537,645,20,231,32,111
20,231,54,537,111,82
54,537,13,252,82,109
13,252,426,691,109,43
426,691,371,0,43,152
371,0,656,518,152,16
656,518,700,350,16,0
700,350,537,645,0,32
537,645,546,60,32,169
546,60,191,661,169,65
191,661,564,73,65,171
564,73,458,682,171,40
458,682,682,241,40,190
682,241,28,489,190,87
28,489,698,382,87,3
698,382,555,633,3,30
555,633,33,499,30,86
33,499,10,262,86,108
10,262,94,110,108,124
94,110,273,8,124,143
273,8,200,666,143,64
200,666,699,339,64,199
699,339,518,656,199,34
518,656,171,48,34,133
171,48,241,682,133,60
241,682,339,0,60,149
339,0,489,671,149,37
489,671,691,273,37,193
691,273,468,679,193,39
468,679,499,33,39,164
499,33,447,686,164,41
447,686,679,231,41,189
679,231,415,693,189,44
415,693,382,1,44,153
382,1,695,404,153,5
695,404,564,626,5,29
564,626,468,20,29,161
468,20,231,679,161,61
231,679,94,589,61,76
94,589,20,231,76,111
20,231,349,0,111,150
349,0,295,695,150,55
295,695,73,564,55,79
73,564,619,126,79,178
619,126,686,447,178,9
686,447,645,162,9,182
645,162,162,54,182,132
162,54,135,626,132,71
135,626,241,17,71,140
241,17,144,633,140,70
144,633,66,144,70,120
66,144,699,328,120,198
699,328,518,656,198,34
518,656,699,339,34,199
699,339,528,651,199,33
528,651,8,273,33,107
8,273,13,447,107,91
13,447,691,273,91,193
691,273,468,679,193,39
468,679,4,295,39,105
4,295,437,10,105,158
437,10,597,102,158,175
597,102,8,273,175,107
8,273,13,447,107,91
13,447,284,6,91,144
284,6,360,699,144,49
360,699,200,33,49,136
200,33,700,350,136,0
700,350,537,645,0,32
537,645,651,528,32,17
651,528,43,518,17,84
43,518,10,262,84,108
10,262,94,110,108,124
94,110,273,8,124,143
273,8,200,666,143,64
200,666,144,66,64,130
144,66,645,162,130,182
645,162,693,415,182,6
693,415,589,605,6,26
589,605,679,468,26,11
679,468,426,8,11,157
426,8,697,306,157,196
697,306,191,661,196,65
191,661,661,191,65,185
661,191,700,350,185,0
700,350,537,645,0,32
537,645,651,528,32,17
651,528,80,126,17,122
80,126,94,589,122,76
94,589,700,350,76,0
700,350,537,645,0,32
537,645,651,528,32,17
651,528,426,8,17,157
426,8,489,671,157,37
489,671,691,273,37,193
691,273,468,679,193,39
468,679,317,1,39,147
317,1,6,284,147,106
6,284,528,48,106,167
528,48,252,686,167,59
252,686,671,210,59,187
671,210,404,695,187,45
404,695,181,43,45,134
181,43,200,666,134,64
200,666,54,162,64,118
54,162,110,605,118,74
110,605,60,153,74,119
60,153,118,612,119,73
118,612,645,537,73,18
645,537,33,200,18,114
33,200,80,573,114,78
80,573,43,181,78,116
43,181,426,691,116,43
426,691,478,24,43,162
478,24,437,689,162,42
437,689,675,221,42,188
675,221,73,135,188,121
73,135,118,612,121,73
118,612,262,689,73,58
262,689,478,24,58,162
478,24,0,371,162,98
0,371,700,350,98,0
700,350,537,645,0,32
537,645,651,528,32,17
651,528,118,87,17,127
118,87,393,697,127,46
393,697,661,191,46,185
661,191,241,682,185,60
241,682,686,252,60,191
686,252,6,415,191,94
6,415,317,698,94,53
317,698,43,518,53,84
43,518,10,262,84,108
